10:06:29.574 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
10:06:29.593 INFO    thonny: TIME/MODS 0.019 Sending message ProgramOutput 
10:06:29.595 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
10:06:32.043 INFO    thonny: TIME/MODS 2.448 Sending message ProgramOutput 
10:06:32.045 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
10:06:32.777 INFO    thonny: TIME/MODS 0.732 Sending message ProgramOutput 
10:06:32.778 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
10:06:33.722 INFO    thonny: TIME/MODS 0.944 Sending message ProgramOutput 
10:06:33.724 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
10:06:35.797 INFO    thonny: TIME/MODS 2.073 Sending message ProgramOutput 
10:06:35.799 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
10:06:38.875 INFO    thonny: TIME/MODS 3.076 Sending message ProgramOutput 
10:06:38.876 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
10:06:39.723 INFO    thonny: TIME/MODS 0.846 Sending message ProgramOutput 
10:06:39.724 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
10:06:41.156 INFO    thonny: TIME/MODS 1.432 Sending message ProgramOutput 
10:06:41.157 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
10:06:41.358 INFO    thonny: TIME/MODS 0.201 Sending message ProgramOutput 
10:06:41.360 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
10:06:44.509 INFO    thonny: TIME/MODS 3.149 After Run 
10:06:44.513 INFO    thonny: TIME/MODS 0.005 Sending message ToplevelResponse 
10:06:44.516 INFO    thonny.backend: Loading Jedi
10:06:44.516 INFO    thonny: TIME/MODS 0.003 Before loading Jedi 
10:06:44.518 INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['/usr/bin', '/usr/lib/python39.zip', '/usr/lib/python3.9', '/usr/lib/python3.9/lib-dynload', '/home/cansat-stu/.local/lib/python3.9/site-packages', '/usr/local/lib/python3.9/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.9/dist-packages', '/home/cansat-stu/.config/Thonny/plugins/lib/python3.9/site-packages']
10:06:44.895 INFO    thonny: TIME/MODS 0.379 After loading Jedi (+125 modules)
