130.9020000,30.41029800
130.9021615,30.41029833
130.9021560,30.41030017
130.9021572,30.41030033
130.9021603,30.41030100
130.9021648,30.41030017
130.9021692,30.41029883
130.9021740,30.41029767
130.9021772,30.41029733
130.9021877,30.41029600
130.9021882,30.41029583
130.9021947,30.41029517
130.9021990,30.41029383
130.9022030,30.41029300
130.9022098,30.41029150
130.9022072,30.41029250
130.9022072,30.41029317
130.9022053,30.41029350
130.9022068,30.41029367
130.9022027,30.41029417
130.9022040,30.41029283
130.9022032,30.41029333
130.9022012,30.41029383
130.9021972,30.41029583
130.9021988,30.41029567
130.9022025,30.41029567
130.9022012,30.41029617
130.9022075,30.41029550
130.9022098,30.41029500
130.9021667,30.41029450
130.9022097,30.41029333
130.9022000,30.41029383
130.9022060,30.41029367
130.9022077,30.41029350
130.9021990,30.41029400
130.9022013,30.41029317
130.9022003,30.41029250
130.9021957,30.41029317
130.9021927,30.41029333
130.9021877,30.41029450
130.9021877,30.41029450
130.9021870,30.41029317
130.9021832,30.41029067
130.9019357,30.41033033
130.9019122,30.41032867
130.9000000,30.41033300
130.9018938,30.41033133
130.9018865,30.41032817
130.9018832,30.41033033
130.9019290,30.41034533
130.9019548,30.41036150
130.9019668,30.41036567
130.9019962,30.41036950
130.9020205,30.41037883
130.9020517,30.41038217
130.9020762,30.41039333
