06:26:16,00.00000,00.00000
06:26:20,00.00000,00.00000
08:54:13,00.00000,00.00000
08:54:17,00.00000,00.00000
10:09:17,13057.53015,3022.45970
10:09:21,13057.53034,3022.45988
10:09:25,13057.53031,3022.46002
10:09:28,00.00000,00.00000
10:09:32,00.00000,00.00000
10:09:36,00.00000,00.00000
10:09:40,00.00000,00.00000
10:09:44,00.00000,00.00000
10:31:12,00.00000,00.00000
10:31:16,00.00000,00.00000
10:33:11,00.00000,00.00000
10:33:15,00.00000,00.00000
10:35:54,00.00000,00.00000
10:39:37,13057.58207,3022.52165
