19:33:12.%f,0.00,0.00,0.00,0.00,0.00,0.00
19:33:12.%f,0.00,0.00,0.00,0.00,0.00,0.00
19:33:12.%f,0.00,0.00,0.00,0.00,0.00,0.00
19:33:13.%f,0.00,0.00,0.00,0.00,0.00,0.00
19:33:13.%f,0.00,0.00,0.00,0.00,0.00,0.00
19:33:13.%f,0.00,0.00,0.00,0.00,0.00,0.00
19:33:13.%f,-62.40,2.87,176.07,-46.00,25.00,-4.00
19:33:13.%f,-61.97,3.26,176.36,0.00,32.00,8.00
19:33:13.%f,-61.68,3.82,176.33,7.00,13.00,25.00
19:33:13.%f,-61.40,4.26,176.38,21.00,8.00,12.00
19:33:13.%f,-61.20,4.46,176.68,20.00,-7.00,15.00
19:33:13.%f,-60.86,4.57,177.16,-7.00,10.00,7.00
19:33:14.%f,-60.73,4.95,176.70,38.00,42.00,-3.00
19:33:14.%f,-60.46,4.66,176.64,-23.00,12.00,-14.00
19:33:14.%f,-59.47,5.43,177.51,10.00,0.00,14.00
19:33:14.%f,-58.85,5.83,178.60,-9.00,-5.00,4.00
19:33:14.%f,-58.66,6.54,178.48,48.00,40.00,24.00
19:33:14.%f,-58.79,6.82,177.46,14.00,34.00,21.00
19:33:14.%f,-58.64,6.35,177.20,-57.00,-18.00,-8.00
19:33:14.%f,-57.40,7.16,177.37,16.00,-11.00,32.00
19:33:14.%f,-56.93,7.56,177.47,-4.00,-12.00,2.00
19:33:15.%f,-57.11,5.95,178.01,-7.00,-9.00,-11.00
19:33:15.%f,-56.56,5.50,178.56,23.00,4.00,-10.00
19:33:15.%f,-56.68,5.44,178.35,-8.00,-19.00,4.00
19:33:15.%f,-56.69,5.22,178.86,-9.00,-21.00,8.00
19:33:15.%f,-57.86,5.08,178.33,21.00,13.00,-7.00
19:33:15.%f,-57.50,4.72,178.16,25.00,5.00,20.00
19:33:15.%f,-57.56,5.02,179.44,9.00,-10.00,7.00
19:33:15.%f,-57.83,4.74,179.23,19.00,24.00,4.00
19:33:15.%f,-58.12,4.61,178.53,14.00,30.00,-8.00
19:33:16.%f,-57.58,4.74,178.35,-14.00,2.00,10.00
19:33:16.%f,-56.48,5.38,178.70,0.00,-10.00,4.00
19:33:16.%f,-55.72,6.10,178.71,12.00,-19.00,13.00
19:33:16.%f,-55.51,6.24,178.16,-9.00,-4.00,3.00
19:33:16.%f,-55.19,6.12,177.75,-2.00,7.00,7.00
19:33:16.%f,-54.29,6.09,178.37,22.00,-2.00,-1.00
19:33:16.%f,-54.15,6.61,178.19,33.00,7.00,-3.00
19:33:16.%f,-54.28,6.70,177.62,-32.00,-3.00,-19.00
19:33:16.%f,-54.19,7.86,177.77,19.00,2.00,23.00
19:33:17.%f,-54.55,8.30,177.88,-2.00,6.00,28.00
19:33:17.%f,-54.73,8.08,177.60,1.00,29.00,29.00
19:33:17.%f,-54.87,7.58,177.62,-22.00,11.00,-15.00
19:33:17.%f,-54.21,7.75,178.40,14.00,-7.00,10.00
19:33:17.%f,-54.19,8.31,177.85,48.00,-3.00,-13.00
19:33:17.%f,-54.31,7.09,176.89,18.00,4.00,-32.00
19:33:17.%f,-55.33,5.94,179.59,-35.00,-25.00,-58.00
19:33:17.%f,-56.49,6.38,-178.39,55.00,3.00,41.00
19:33:17.%f,-56.74,6.08,-177.74,10.00,7.00,49.00
19:33:18.%f,-57.14,5.98,-177.95,-25.00,2.00,38.00
19:33:18.%f,-57.82,5.81,-178.80,-24.00,0.00,7.00
19:33:18.%f,-58.09,5.92,-178.81,53.00,8.00,-10.00
19:33:18.%f,-58.20,5.85,-179.09,34.00,7.00,26.00
19:33:18.%f,-59.03,4.99,179.68,13.00,19.00,-31.00
19:33:18.%f,-59.06,4.29,178.67,24.00,15.00,-26.00
19:33:18.%f,-58.67,4.93,178.44,11.00,3.00,2.00
19:33:18.%f,-58.08,5.24,178.54,-10.00,-13.00,10.00
19:33:19.%f,-57.81,5.25,178.85,-6.00,-5.00,6.00
19:33:19.%f,-57.85,5.39,178.98,15.00,-5.00,15.00
19:33:19.%f,-58.20,5.70,178.84,31.00,16.00,9.00
19:33:19.%f,-58.18,4.83,178.78,-15.00,19.00,3.00
19:33:19.%f,-58.45,5.15,179.03,10.00,9.00,-13.00
19:33:19.%f,-58.24,4.40,179.10,-14.00,-11.00,17.00
19:33:19.%f,-57.91,4.65,179.79,6.00,-11.00,24.00
19:33:19.%f,-58.10,4.41,-179.86,16.00,-140.00,6.00
19:33:19.%f,-58.32,4.01,179.93,-3.00,-15.00,15.00
19:33:20.%f,-58.89,3.87,179.89,0.00,5.00,-17.00
19:33:20.%f,-59.60,3.95,179.50,7.00,1.00,-3.00
19:33:20.%f,-59.93,4.55,179.21,13.00,4.00,23.00
19:33:20.%f,-60.22,4.86,179.28,-14.00,-1.00,2.00
19:33:20.%f,-60.20,4.98,179.71,9.00,-7.00,-2.00
19:33:20.%f,-59.99,5.13,-179.97,12.00,-2.00,5.00
19:33:20.%f,-60.03,5.11,-179.79,1.00,12.00,-9.00
19:33:20.%f,-60.26,5.22,179.84,2.00,1.00,-18.00
19:33:20.%f,-60.53,5.30,179.74,-4.00,11.00,4.00
19:33:21.%f,-60.27,5.31,-179.18,-13.00,16.00,26.00
19:33:21.%f,-59.54,5.59,-178.00,21.00,-16.00,39.00
19:33:21.%f,-59.40,3.91,-178.54,-8.00,-30.00,16.00
19:33:21.%f,-59.16,2.31,-177.92,-13.00,-17.00,-34.00
19:33:21.%f,-58.75,1.48,-176.31,12.00,41.00,-18.00
19:33:21.%f,-57.89,1.03,-176.73,3.00,49.00,34.00
19:33:21.%f,-56.00,0.36,-177.11,15.00,8.00,28.00
19:33:21.%f,-54.34,-0.30,-177.12,39.00,-34.00,-25.00
19:33:21.%f,-53.58,-0.94,-178.19,21.00,-17.00,-5.00
19:33:22.%f,-52.29,-1.70,-179.01,-4.00,0.00,14.00
19:33:22.%f,-50.51,-1.94,-178.60,20.00,-3.00,-15.00
19:33:22.%f,-49.56,-0.88,-176.91,50.00,-32.00,-32.00
19:33:22.%f,-49.75,-0.12,-176.76,31.00,-12.00,-22.00
19:33:22.%f,-50.41,-0.19,-178.66,-1.00,16.00,20.00
19:33:22.%f,-50.78,-0.01,179.15,12.00,4.00,26.00
19:33:22.%f,-51.21,-0.01,177.88,33.00,-20.00,5.00
19:33:22.%f,-52.63,-0.63,176.64,19.00,-21.00,14.00
19:33:22.%f,-54.60,-0.45,175.56,40.00,0.00,1.00
19:33:23.%f,-56.30,-1.30,175.36,13.00,33.00,-34.00
19:33:23.%f,-58.26,-0.75,175.92,-15.00,15.00,-16.00
19:33:23.%f,-59.43,-0.38,175.81,6.00,12.00,23.00
19:33:23.%f,-60.64,-0.31,176.23,-4.00,-4.00,20.00
19:33:23.%f,-60.32,-1.03,176.68,-4.00,22.00,6.00
19:33:23.%f,-59.06,-0.76,177.95,-14.00,-3.00,15.00
19:33:23.%f,-57.59,-1.57,178.44,16.00,26.00,2.00
19:33:23.%f,-56.23,-2.73,178.37,51.00,43.00,-48.00
19:33:23.%f,-54.54,-3.16,178.46,15.00,27.00,-54.00
19:33:24.%f,-53.18,-3.09,179.37,50.00,0.00,-22.00
19:33:24.%f,-53.59,-1.76,178.61,66.00,25.00,54.00
19:33:24.%f,-54.50,-0.53,178.61,20.00,6.00,17.00
19:33:24.%f,-55.96,-1.28,179.21,-30.00,11.00,13.00
19:33:24.%f,-57.28,-2.18,178.40,-60.00,-12.00,19.00
19:33:24.%f,-57.64,-1.96,178.59,-7.00,-8.00,14.00
19:33:24.%f,-58.10,-1.48,178.76,1.00,11.00,-7.00
19:33:24.%f,-58.46,-1.65,178.30,15.00,0.00,-13.00
